country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
Australia,2014,female,15-24 years,96,1520955,6.31,Australia2014,0.935,"1,464,955,475,994",66809,Millenials
Australia,2015,male,15-24 years,281,1608990,17.46,Australia2015,,"1,349,034,029,453",60656,Millenials
Australia,2015,female,15-24 years,110,1526305,7.21,Australia2015,,"1,349,034,029,453",60656,Millenials
Canada,2000,male,15-24 years,430,2131117,20.18,Canada2000,0.867,"742,293,448,253",25589,Generation X
Canada,2000,female,15-24 years,112,2030972,5.51,Canada2000,0.867,"742,293,448,253",25589,Generation X
Canada,2001,male,15-24 years,398,2168038,18.36,Canada2001,,"736,379,777,893",25165,Millenials
Canada,2001,female,15-24 years,105,2059,5.1,Canada2001,,"736,379,777,893",25165,Millenials
Canada,2002,male,15-24 years,384,2,17.51,Canada2002,,"757,950,678,647",25570,Millenials
Canada,2002,female,15-24 years,108,2084984,5.18,Canada2002,,"757,950,678,647",25570,Millenials
Canada,2003,male,15-24 years,409,2211023,18.5,Canada2003,,"892,380,986,368",29787,Millenials
Canada,2003,female,15-24 years,113,2103731,5.37,Canada2003,,"892,380,986,368",29787,Millenials
Canada,2004,male,15-24 years,379,2230355,16.99,Canada2004,,"1,023",33787,Millenials
Canada,2004,female,15-24 years,101,2124167,4.75,Canada2004,,"1,023",33787,Millenials
Canada,2005,male,15-24 years,378,2249377,16.8,Canada2005,0.892,"1,169,357,979,865",38218,Millenials
Canada,2005,female,15-24 years,131,2144094,6.11,Canada2005,0.892,"1,169,357,979,865",38218,Millenials
Canada,2006,male,15-24 years,331,2288073,14.47,Canada2006,,"1,315,415",42566,Millenials
Canada,2006,female,15-24 years,86,2179623,3.95,Canada2006,,"1,315,415",42566,Millenials
Canada,2007,male,15-24 years,359,2318148,15.49,Canada2007,,"1,464,977",46890,Millenials
Canada,2007,female,15-24 years,116,2206555,5.26,Canada2007,,"1,464,977",46890,Millenials
Canada,2008,male,15-24 years,344,2341539,14.69,Canada2008,,"1,549,131,208,997",49041,Millenials
Canada,2008,female,15-24 years,1,2227003,5.34,Canada2008,,"1,549,131,208,997",49041,Millenials
Canada,2009,male,15-24 years,349,2355316,14.82,Canada2009,,"1,371,153,004,986",42933,Millenials
Canada,2009,female,15-24 years,130,2238546,5.81,Canada2009,,"1,371,153,004,986",42933,Millenials
Canada,2010,male,15-24 years,371,2357806,15.73,Canada2010,0.903,"1,613,464,422,811",49974,Millenials
Canada,2010,female,15-24 years,115,2239759,5.13,Canada2010,0.903,"1,613,464,422,811",49974,Millenials
Canada,2011,male,15-24 years,364,2356694,15.45,Canada2011,0.909,"1,788,647,906,048",54841,Millenials
Canada,2011,female,15-24 years,135,2248,6,Canada2011,0.909,"1,788,647,906,048",54841,Millenials
Canada,2012,male,15-24 years,381,2358461,16.15,Canada2012,0.91,"1,824,288,757,448",55347,Millenials
Canada,2012,female,15-24 years,137,2255895,6.07,Canada2012,0.91,"1,824,288,757,448",55347,Millenials
Canada,2013,male,15-24 years,300,2362807,12.7,Canada2013,0.912,"1,842,628,005,830",55310,Millenials
Canada,2013,female,15-24 years,138,2261173,6.1,Canada2013,0.912,"1,842,628,005,830",55310,Millenials
Denmark,2000,male,15-24 years,39,310470,12.56,Denmark2000,0.862,"164,158,800,460",32841,Generation X
Denmark,2000,female,15-24 years,9,300690,2.99,Denmark2000,0.862,"164,158,800,460",32841,Generation X
Denmark,2001,male,15-24 years,38,304335,12.49,Denmark2001,,"164,791,416,350",32837,Millenials
Denmark,2001,female,15-24 years,7,294773,2.37,Denmark2001,,"164,791,416,350",32837,Millenials
Denmark,2002,male,15-24 years,40,302,13.24,Denmark2002,,"178,635,160,297",35435,Millenials
Denmark,2002,female,15-24 years,6,292727,2.05,Denmark2002,,"178,635,160,297",35435,Millenials
Denmark,2003,male,15-24 years,24,300836,7.98,Denmark2003,,"218,095,997,085",43129,Millenials
Denmark,2003,female,15-24 years,6,290582,2.06,Denmark2003,,"218,095,997,085",43129,Millenials
Denmark,2004,male,15-24 years,33,30,10.93,Denmark2004,,"251,373,036,671",49552,Millenials
Denmark,2004,female,15-24 years,11,290626,3.78,Denmark2004,,"251,373,036,671",49552,Millenials
Denmark,2005,male,15-24 years,21,305232,6.88,Denmark2005,0.902,"264,467,308,109",5,Millenials
Denmark,2005,female,15-24 years,7,292929,2.39,Denmark2005,0.902,"264,467,308,109",5,Millenials
Denmark,2006,male,15-24 years,24,312053,7.69,Denmark2006,,"282,884,912,894",55354,Millenials
Denmark,2006,female,15-24 years,9,298500,3.02,Denmark2006,,"282,884,912,894",55354,Millenials
Denmark,2007,male,15-24 years,15,320054,4.69,Denmark2007,,3,62229,Millenials
Denmark,2007,female,15-24 years,6,305722,1.96,Denmark2007,,3,62229,Millenials
Denmark,2008,male,15-24 years,30,330409,9.08,Denmark2008,,"353,361,056,080",68447,Millenials
Denmark,2008,female,15-24 years,8,315514,2.54,Denmark2008,,"353,361,056,080",68447,Millenials
Denmark,2009,male,15-24 years,24,340143,7.06,Denmark2009,,"321,241,396,034",61863,Millenials
Denmark,2009,female,15-24 years,4,324876,1.23,Denmark2009,,"321,241,396,034",61863,Millenials
Denmark,2010,male,15-24 years,17,349175,4.87,Denmark2010,0.908,32,61711,Millenials
Denmark,2010,female,15-24 years,10,333696,3,Denmark2010,0.908,32,61711,Millenials
Denmark,2011,male,15-24 years,26,3563,7.3,Denmark2011,0.92,"344,003,209,696",65598,Millenials
Denmark,2011,female,15-24 years,11,340056,3.23,Denmark2011,0.92,"344,003,209,696",65598,Millenials
Denmark,2012,male,15-24 years,33,362466,9.1,Denmark2012,0.921,"327,148,899,962",62071,Millenials
Denmark,2012,female,15-24 years,8,346154,2.31,Denmark2012,0.921,"327,148,899,962",62071,Millenials
Denmark,2013,male,15-24 years,23,367000,6.27,Denmark2013,0.923,"343,584,385,594",64831,Millenials
Denmark,2013,female,15-24 years,12,350607,3.42,Denmark2013,0.923,"343,584,385,594",64831,Millenials
Denmark,2014,male,15-24 years,31,370570,8.37,Denmark2014,0.923,"352,993,633,221",66114,Millenials
Denmark,2014,female,15-24 years,7,354099,1.98,Denmark2014,0.923,"352,993,633,221",66114,Millenials
Denmark,2015,male,15-24 years,18,374051,4.81,Denmark2015,,"301,298,464,861",55972,Millenials
Denmark,2015,female,15-24 years,6,356882,1.68,Denmark2015,,"301,298,464,861",55972,Millenials
Finland,2000,male,15-24 years,105,337152,31.14,Finland2000,0.857,"125,539,893,127",25716,Generation X
Finland,2000,female,15-24 years,26,322489,8.06,Finland2000,0.857,"125,539,893,127",25716,Generation X
Finland,2001,male,15-24 years,93,335676,27.71,Finland2001,,"129,250,111,857",26383,Millenials
Finland,2001,female,15-24 years,22,321239,6.85,Finland2001,,"129,250,111,857",26383,Millenials
Finland,2002,male,15-24 years,97,333547,29.08,Finland2002,,"139,552,983,249",28390,Millenials
Finland,2002,female,15-24 years,23,3,7.21,Finland2002,,"139,552,983,249",28390,Millenials
Finland,2003,male,15-24 years,95,332460,28.57,Finland2003,,"171,071,106,095",34701,Millenials
Finland,2003,female,15-24 years,27,318049,8.49,Finland2003,,"171,071,106,095",34701,Millenials
Finland,2004,male,15-24 years,110,332773,33.06,Finland2004,,,39793,Millenials
Finland,2004,female,15-24 years,31,318275,9.74,Finland2004,,,39793,Millenials
Finland,2005,male,15-24 years,68,333948,20.36,Finland2005,0.869,"204,436,015,421",41202,Millenials
Finland,2005,female,15-24 years,33,3,10.34,Finland2005,0.869,"204,436,015,421",41202,Millenials
Finland,2006,male,15-24 years,108,335416,32.2,Finland2006,,"216,552,502,823",43487,Millenials
Finland,2006,female,15-24 years,,320699,5.92,Finland2006,,"216,552,502,823",43487,Millenials
Finland,2007,male,15-24 years,89,336401,26.46,Finland2007,,"255,384,615,385",51089,Millenials
Finland,2007,female,15-24 years,31,321868,9.63,Finland2007,,"255,384,615,385",51089,Millenials
Finland,2008,male,15-24 years,81,336624,24.06,Finland2008,,"283,742,493,042",56521,Millenials
Finland,2008,female,15-24 years,26,322278,8.07,Finland2008,,"283,742,493,042",56521,Millenials
Finland,2009,male,15-24 years,89,336510,26.45,Finland2009,,"251,499,027,508",49878,Millenials
Finland,2009,female,15-24 years,28,322353,8.69,Finland2009,,"251,499,027,508",49878,Millenials
Finland,2010,male,15-24 years,105,336807,31.18,Finland2010,0.878,"247,799,815,768",48939,Millenials
Finland,2010,female,15-24 years,30,322681,9.3,Finland2010,0.878,"247,799,815,768",48939,Millenials
Finland,2011,male,15-24 years,89,337265,26.39,Finland2011,0.881,"273,674,236,773",53809,Millenials
Finland,2011,female,15-24 years,27,322992,8.36,Finland2011,0.881,"273,674,236,773",53809,Millenials
Finland,2012,male,15-24 years,85,337342,25.2,Finland2012,0.882,"256,706,466,091",50232,Millenials
Finland,2012,female,15-24 years,32,323218,9.9,Finland2012,0.882,"256,706,466,091",50232,Millenials
Finland,2013,male,15-24 years,68,335688,20.26,Finland2013,0.882,"269,980,111,643",52572,Millenials
Finland,2013,female,15-24 years,31,321757,9.63,Finland2013,0.882,"269,980,111,643",52572,Millenials
Finland,2014,male,15-24 years,63,332717,18.94,Finland2014,0.883,"272,609,288,690",52832,Millenials
Finland,2014,female,15-24 years,22,318826,6.9,Finland2014,0.883,"272,609,288,690",52832,Millenials
Finland,2015,male,15-24 years,59,332082,17.77,Finland2015,,"232,464,833,066",44862,Millenials
Finland,2015,female,15-24 years,12,317937,3.77,Finland2015,,"232,464,833,066",44862,Millenials
Iceland,2000,male,15-24 years,13,21730,59.83,Iceland2000,0.859,"8,927,140,438",34372,Generation X
Iceland,2000,female,15-24 years,1,21102,4.74,Iceland2000,0.859,"8,927,140,438",34372,Generation X
Iceland,2001,male,15-24 years,8,21707,36.85,Iceland2001,,"8,136,345,144",30850,Millenials
Iceland,2001,female,15-24 years,0,21182,0,Iceland2001,,"8,136,345,144",30850,Millenials
Iceland,2002,male,15-24 years,3,21620,13.88,Iceland2002,,"9,207,689,916",34556,Millenials
Iceland,2002,female,15-24 years,1,21091,4.74,Iceland2002,,"9,207,689,916",34556,Millenials
Iceland,2003,male,15-24 years,5,21857,22.88,Iceland2003,,"11,316,441,660",42174,Millenials
Iceland,2003,female,15-24 years,0,21105,0,Iceland2003,,"11,316,441,660",42174,Millenials
Iceland,2004,male,15-24 years,6,2,27.28,Iceland2004,,"13,722,824,251",50528,Millenials
Iceland,2004,female,15-24 years,1,21091,4.74,Iceland2004,,"13,722,824,251",50528,Millenials
Iceland,2005,male,15-24 years,3,22100,13.57,Iceland2005,0.889,"16,691,490,114",60712,Millenials
Iceland,2005,female,15-24 years,0,21,0,Iceland2005,0.889,"16,691,490,114",60712,Millenials
Iceland,2006,male,15-24 years,6,22771,26.35,Iceland2006,,"17,048,647,568",60243,Millenials
Iceland,2006,female,15-24 years,0,21657,0,Iceland2006,,"17,048,647,568",60243,Millenials
Iceland,2007,male,15-24 years,7,23231,30.13,Iceland2007,,213,73590,Millenials
Iceland,2007,female,15-24 years,1,22072,4.53,Iceland2007,,213,73590,Millenials
Iceland,2008,male,15-24 years,4,24143,16.57,Iceland2008,,"17,658,408,759",59489,Millenials
Iceland,2008,female,15-24 years,0,22861,0,Iceland2008,,"17,658,408,759",59489,Millenials
Iceland,2009,male,15-24 years,2,23991,8.34,Iceland2009,,"12,944,114,736",43700,Millenials
Iceland,2009,female,15-24 years,0,22973,0,Iceland2009,,"12,944,114,736",43700,Millenials
Iceland,2010,male,15-24 years,6,23905,25.1,Iceland2010,0.892,"13,310,567,803",45179,Millenials
Iceland,2010,female,15-24 years,1,22907,4.37,Iceland2010,0.892,"13,310,567,803",45179,Millenials
Iceland,2011,male,15-24 years,2,24083,8.3,Iceland2011,0.896,"14,732,689,535",49861,Millenials
Iceland,2011,female,15-24 years,1,22926,4.36,Iceland2011,0.896,"14,732,689,535",49861,Millenials
Iceland,2012,male,15-24 years,3,24210,12.39,Iceland2012,0.897,"14,292,008,745",48083,Millenials
Iceland,2012,female,15-24 years,2,22968,8.71,Iceland2012,0.897,"14,292,008,745",48083,Millenials
Iceland,2013,male,15-24 years,5,24215,20.65,Iceland2013,0.899,"15,548,321,544",51749,Millenials
Iceland,2013,female,15-24 years,0,22970,0,Iceland2013,0.899,"15,548,321,544",51749,Millenials
Iceland,2014,male,15-24 years,4,24185,16.54,Iceland2014,0.899,"17,304,033,021",56833,Millenials
Iceland,2014,female,15-24 years,2,22989,8.7,Iceland2014,0.899,"17,304,033,021",56833,Millenials
Iceland,2015,male,15-24 years,7,24116,29.03,Iceland2015,,"16,942,247,374",54909,Millenials
Iceland,2015,female,15-24 years,0,22962,0,Iceland2015,,"16,942,247,374",54909,Millenials
Iceland,2016,male,15-24 years,6,24099,24.9,Iceland2016,,"20,304,098,101",64708,Millenials
Iceland,2016,female,15-24 years,0,22971,0,Iceland2016,,"20,304,098,101",64708,Millenials
Netherlands,2000,male,15-24 years,90,960741,9.37,Netherlands2000,0.877,"412,807,259,996",27644,Generation X
Netherlands,2000,female,15-24 years,18,927539,1.94,Netherlands2000,0.877,"412,807,259,996",27644,Generation X
Netherlands,2001,male,15-24 years,71,968251,7.33,Netherlands2001,,"426,573,601,790",28366,Millenials
Netherlands,2001,female,15-24 years,32,934725,3.42,Netherlands2001,,"426,573,601,790",28366,Millenials
Netherlands,2002,male,15-24 years,80,978378,8.18,Netherlands2002,,"465,368,906,456",30757,Millenials
Netherlands,2002,female,15-24 years,26,943864,2.75,Netherlands2002,,"465,368,906,456",30757,Millenials
Netherlands,2003,male,15-24 years,68,985449,6.9,Netherlands2003,,"571,863,431,151",37614,Millenials
Netherlands,2003,female,15-24 years,29,950780,3.05,Netherlands2003,,"571,863,431,151",37614,Millenials
Netherlands,2004,male,15-24 years,72,988827,7.28,Netherlands2004,,"650,532,654,582",42614,Millenials
Netherlands,2004,female,15-24 years,25,955899,2.62,Netherlands2004,,"650,532,654,582",42614,Millenials
Netherlands,2005,male,15-24 years,78,992090,7.86,Netherlands2005,0.891,"678,533,764,457",44289,Millenials
Netherlands,2005,female,15-24 years,33,960181,3.44,Netherlands2005,0.891,"678,533,764,457",44289,Millenials
Netherlands,2006,male,15-24 years,91,996333,9.13,Netherlands2006,,"726,649,102,998",47281,Millenials
Netherlands,2006,female,15-24 years,34,963837,3.53,Netherlands2006,,"726,649,102,998",47281,Millenials
Netherlands,2007,male,15-24 years,72,1003453,7.18,Netherlands2007,,"8,394",54418,Millenials
Netherlands,2007,female,15-24 years,22,970052,2.27,Netherlands2007,,"8,394",54418,Millenials
Netherlands,2008,male,15-24 years,67,1014326,6.61,Netherlands2008,,"936,228,211,513",60375,Millenials
Netherlands,2008,female,15-24 years,31,980609,3.16,Netherlands2008,,"936,228,211,513",60375,Millenials
Netherlands,2009,male,15-24 years,77,1025904,7.51,Netherlands2009,,"857,932,759,100",54988,Millenials
Netherlands,2009,female,15-24 years,24,99,2.42,Netherlands2009,,"857,932,759,100",54988,Millenials
Netherlands,2010,male,15-24 years,97,1034368,9.38,Netherlands2010,0.909,"836,389,937,229",53302,Millenials
Netherlands,2010,female,15-24 years,26,1000536,2.6,Netherlands2010,0.909,"836,389,937,229",53302,Millenials
Netherlands,2011,male,15-24 years,85,1039605,8.18,Netherlands2011,0.9,"893,757,287,202",56667,Millenials
Netherlands,2011,female,15-24 years,38,1004949,3.78,Netherlands2011,0.9,"893,757,287,202",56667,Millenials
Netherlands,2012,male,15-24 years,97,1041845,9.31,Netherlands2012,0.92,"828,946,812,397",52334,Millenials
Netherlands,2012,female,15-24 years,33,1006742,3.28,Netherlands2012,0.92,"828,946,812,397",52334,Millenials
Netherlands,2013,male,15-24 years,93,1044562,8.9,Netherlands2013,0.92,"866,680,000,367",54510,Millenials
Netherlands,2013,female,15-24 years,46,1009345,4.56,Netherlands2013,0.92,"866,680,000,367",54510,Millenials
Netherlands,2014,male,15-24 years,81,1044562,7.75,Netherlands2014,0.922,"879,635,084,125",55325,Millenials
Netherlands,2014,female,15-24 years,48,1009345,4.76,Netherlands2014,0.922,"879,635,084,125",55325,Millenials
Netherlands,2015,male,15-24 years,89,1058675,8.41,Netherlands2015,,"757,999,453,314",47206,Millenials
Netherlands,2015,female,15-24 years,34,1018674,3.34,Netherlands2015,,"757,999,453,314",47206,Millenials
Netherlands,2016,male,15-24 years,77,10677,7.21,Netherlands2016,,"777,227,541,581",48108,Millenials
Netherlands,2016,female,15-24 years,35,1025443,3.41,Netherlands2016,,"777,227,541,581",48108,Millenials
New Zealand,2000,male,15-24 years,81,266610,30.38,New Zealand2000,0.874,"52,622,842,840",14725,Generation X
New Zealand,2000,female,15-24 years,15,261330,5.74,New Zealand2000,0.874,"52,622,842,840",14725,Generation X
New Zealand,2001,male,15-24 years,87,269420,32.29,New Zealand2001,,"53,872,425,917",14968,Millenials
New Zealand,2001,female,15-24 years,23,263730,8.72,New Zealand2001,,"53,872,425,917",14968,Millenials
New Zealand,2002,male,15-24 years,66,280450,23.53,New Zealand2002,,"66,627,729,311",18208,Millenials
New Zealand,2002,female,15-24 years,30,271530,11.05,New Zealand2002,,"66,627,729,311",18208,Millenials
New Zealand,2003,male,15-24 years,66,292920,22.53,New Zealand2003,,"88,250,885,550",23663,Millenials
New Zealand,2003,female,15-24 years,31,281350,11.02,New Zealand2003,,"88,250,885,550",23663,Millenials
New Zealand,2004,male,15-24 years,83,296450,28,New Zealand2004,,"103,904,537,815",27325,Millenials
New Zealand,2004,female,15-24 years,30,289050,10.38,New Zealand2004,,"103,904,537,815",27325,Millenials
New Zealand,2005,male,15-24 years,84,300360,27.97,New Zealand2005,0.895,"114,718,721,397",29803,Millenials
New Zealand,2005,female,15-24 years,24,294110,8.16,New Zealand2005,0.895,"114,718,721,397",29803,Millenials
New Zealand,2006,male,15-24 years,95,305250,31.12,New Zealand2006,,"111,608,845,081",28628,Millenials
New Zealand,2006,female,15-24 years,24,299490,8.01,New Zealand2006,,"111,608,845,081",28628,Millenials
New Zealand,2007,male,15-24 years,70,309990,22.58,New Zealand2007,,"137,316,087,308",34892,Millenials
New Zealand,2007,female,15-24 years,23,302660,7.6,New Zealand2007,,"137,316,087,308",34892,Millenials
New Zealand,2008,male,15-24 years,83,314500,26.39,New Zealand2008,,"133,279,679,483",33585,Millenials
New Zealand,2008,female,15-24 years,38,304640,12.47,New Zealand2008,,"133,279,679,483",33585,Millenials
New Zealand,2009,male,15-24 years,94,320230,29.35,New Zealand2009,,"121,338,622,025",30259,Millenials
New Zealand,2009,female,15-24 years,21,307230,6.84,New Zealand2009,,"121,338,622,025",30259,Millenials
New Zealand,2010,male,15-24 years,77,326870,23.56,New Zealand2010,0.905,"146,583,831,538",36145,Millenials
New Zealand,2010,female,15-24 years,35,310690,11.27,New Zealand2010,0.905,"146,583,831,538",36145,Millenials
New Zealand,2011,male,15-24 years,96,330920,29.01,New Zealand2011,0.907,"16,846",41184,Millenials
New Zealand,2011,female,15-24 years,33,311490,10.59,New Zealand2011,0.907,"16,846",41184,Millenials
New Zealand,2012,male,15-24 years,107,331070,32.32,New Zealand2012,0.909,176,42756,Millenials
New Zealand,2012,female,15-24 years,41,310390,13.21,New Zealand2012,0.909,176,42756,Millenials
New Zealand,2013,male,15-24 years,75,3,23.49,New Zealand2013,0.911,,46,Millenials
New Zealand,2013,female,15-24 years,37,308050,12.01,New Zealand2013,0.911,,46,Millenials
Norway,2000,male,15-24 years,70,276727,25.3,Norway2000,0.917,"171,315,639,983",41099,Generation X
Norway,2000,female,15-24 years,14,265784,5.27,Norway2000,0.917,"171,315,639,983",41099,Generation X
Norway,2001,male,15-24 years,61,276255,22.08,Norway2001,,"174,003,247,439",41281,Millenials
Norway,2001,female,15-24 years,20,264797,7.55,Norway2001,,"174,003,247,439",41281,Millenials
Norway,2002,male,15-24 years,49,277736,17.64,Norway2002,,,46049,Millenials
Norway,2002,female,15-24 years,15,266365,5.63,Norway2002,,,46049,Millenials
Norway,2003,male,15-24 years,58,280898,20.65,Norway2003,,"228,752,436,372",53533,Millenials
Norway,2003,female,15-24 years,17,269608,6.31,Norway2003,,"228,752,436,372",53533,Millenials
Norway,2004,male,15-24 years,58,285070,20.35,Norway2004,,"264,357,494,659",61450,Millenials
Norway,2004,female,15-24 years,20,2734,7.31,Norway2004,,"264,357,494,659",61450,Millenials
Norway,2005,male,15-24 years,50,2902,17.23,Norway2005,0.931,"308,722,079,938",71215,Millenials
Norway,2005,female,15-24 years,20,278355,7,Norway2005,0.931,"308,722,079,938",71215,Millenials
Norway,2006,male,15-24 years,68,296501,22.93,Norway2006,,"345,424,664,369",79007,Millenials
Norway,2006,female,15-24 years,18,283975,6.34,Norway2006,,"345,424,664,369",79007,Millenials
Norway,2007,male,15-24 years,45,303717,14.82,Norway2007,,"401,082,621,083",90797,Millenials
Norway,2007,female,15-24 years,14,289740,4.83,Norway2007,,"401,082,621,083",90797,Millenials
Norway,2008,male,15-24 years,48,310905,15.44,Norway2008,,"462,554,432,624",103431,Millenials
Norway,2008,female,15-24 years,21,296143,7.09,Norway2008,,"462,554,432,624",103431,Millenials
Norway,2009,male,15-24 years,51,317853,16.05,Norway2009,,"386,622,457,580",85394,Millenials
Norway,2009,female,15-24 years,18,302896,5.94,Norway2009,,"386,622,457,580",85394,Millenials
Norway,2010,male,15-24 years,59,325364,18.13,Norway2010,0.94,"429,130,952,709",93638,Millenials
Norway,2010,female,15-24 years,13,309730,4.2,Norway2010,0.94,"429,130,952,709",93638,Millenials
Norway,2011,male,15-24 years,58,332779,17.43,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2011,female,15-24 years,20,316334,6.32,Norway2011,0.941,"498,831,558,926",107430,Millenials
Norway,2012,male,15-24 years,45,338854,13.28,Norway2012,0.942,"510,229,136,227",108408,Millenials
Norway,2012,female,15-24 years,21,321497,6.53,Norway2012,0.942,"510,229,136,227",108408,Millenials
Norway,2013,male,15-24 years,44,342484,12.85,Norway2013,0.942,"523,502,127,660",109804,Millenials
Norway,2013,female,15-24 years,20,324,6.17,Norway2013,0.942,"523,502,127,660",109804,Millenials
Norway,2014,male,15-24 years,38,344245,11.04,Norway2014,0.944,"499,338,534,779",103443,Millenials
Norway,2014,female,15-24 years,17,325164,5.23,Norway2014,0.944,"499,338,534,779",103443,Millenials
Norway,2015,male,15-24 years,43,345115,12.46,Norway2015,,"386,663,139,403",79187,Millenials
Norway,2015,female,15-24 years,17,325007,5.23,Norway2015,,"386,663,139,403",79187,Millenials
Sweden,2000,male,15-24 years,63,524457,12.01,Sweden2000,0.897,"259,802,012,617",30896,Generation X
Sweden,2000,female,15-24 years,26,500737,5,Sweden2000,0.897,"259,802,012,617",30896,Generation X
Sweden,2001,male,15-24 years,59,527111,11,Sweden2001,,"239,917,320,967",28429,Millenials
Sweden,2001,female,15-24 years,18,502901,3.58,Sweden2001,,"239,917,320,967",28429,Millenials
Sweden,2002,male,15-24 years,78,533111,14.63,Sweden2002,,"263,926,220,333",31175,Millenials
Sweden,2002,female,15-24 years,23,508851,4.52,Sweden2002,,"263,926,220,333",31175,Millenials
Sweden,2003,male,15-24 years,60,543102,11.05,Sweden2003,,"331,108,912,605",38997,Millenials
Sweden,2003,female,15-24 years,35,518172,6.75,Sweden2003,,"331,108,912,605",38997,Millenials
Sweden,2004,male,15-24 years,90,555650,16.2,Sweden2004,,"381,705,425,302",44831,Millenials
Sweden,2004,female,15-24 years,32,529514,6.04,Sweden2004,,"381,705,425,302",44831,Millenials
Sweden,2005,male,15-24 years,68,569180,11.95,Sweden2005,0.892,"389,042,298,377",45563,Millenials
Sweden,2005,female,15-24 years,36,542149,6.64,Sweden2005,0.892,"389,042,298,377",45563,Millenials
Sweden,2006,male,15-24 years,73,586123,12.45,Sweden2006,,"420,032,121,656",48977,Millenials
Sweden,2006,female,15-24 years,51,557351,9.15,Sweden2006,,"420,032,121,656",48977,Millenials
Sweden,2007,male,15-24 years,69,604397,11.42,Sweden2007,,"487,816,328,342",56531,Millenials
Sweden,2007,female,15-24 years,35,573531,6.1,Sweden2007,,"487,816,328,342",56531,Millenials
Sweden,2008,male,15-24 years,96,6,15.49,Sweden2008,,"513,965,650,650",59155,Millenials
Sweden,2008,female,15-24 years,40,588321,6.8,Sweden2008,,"513,965,650,650",59155,Millenials
Sweden,2009,male,15-24 years,91,632027,14.4,Sweden2009,,"429,657,033,108",49070,Millenials
Sweden,2009,female,15-24 years,43,600839,7.16,Sweden2009,,"429,657,033,108",49070,Millenials
Sweden,2010,male,15-24 years,87,639346,13.61,Sweden2010,0.901,"488,377,689,565",55352,Millenials
Sweden,2010,female,15-24 years,31,607958,5.1,Sweden2010,0.901,"488,377,689,565",55352,Millenials
Sweden,2011,male,15-24 years,85,639416,13.29,Sweden2011,0.903,"563,109,663,291",63380,Millenials
Sweden,2011,female,15-24 years,36,607514,5.93,Sweden2011,0.903,"563,109,663,291",63380,Millenials
