Country ,Region,Income Group,Unemployment Rate
Middle East & North Africa (excluding high income),,,12.64286756
Montenegro,Europe & Central Asia,Upper middle income,17.70000076
Mongolia,East Asia & Pacific,Lower middle income,6.800000191
Mozambique,Sub-Saharan Africa,Low income,25
Mauritania,Sub-Saharan Africa,Lower middle income,10.10000038
Mauritius,Sub-Saharan Africa,Upper middle income,7.300000191
Malawi,Sub-Saharan Africa,Low income,6.599999905
Malaysia,East Asia & Pacific,Upper middle income,3.5
North America,,,5.12933283
Namibia,Sub-Saharan Africa,Upper middle income,23.39999962
New Caledonia,East Asia & Pacific,High income,14.5
Niger,Sub-Saharan Africa,Low income,2.599999905
Nigeria,Sub-Saharan Africa,Lower middle income,5
Nicaragua,Latin America & Caribbean,Lower middle income,6.099999905
Netherlands,Europe & Central Asia,High income,6
Norway,Europe & Central Asia,High income,4.699999809
Nepal,South Asia,Low income,3.400000095
New Zealand,East Asia & Pacific,High income,5.099999905
OECD members,,,6.315089012
Oman,Middle East & North Africa,High income,16.5
Other small states,,,11.92339686
Pakistan,South Asia,Lower middle income,5.900000095
Panama,Latin America & Caribbean,Upper middle income,4.400000095
Peru,Latin America & Caribbean,Upper middle income,6.699999809
Philippines,East Asia & Pacific,Lower middle income,5.5
Papua New Guinea,East Asia & Pacific,Lower middle income,2.5
Poland,Europe & Central Asia,High income,6.199999809
Pre-demographic dividend,,,6.680943637
Puerto Rico,Latin America & Caribbean,High income,11.80000019
"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,4.300000191
Portugal,Europe & Central Asia,High income,11.10000038
Paraguay,Latin America & Caribbean,Upper middle income,5.400000095
West Bank and Gaza,Middle East & North Africa,Lower middle income,27
Pacific island small states,,,14.93098669
Post-demographic dividend,,,6.347689873
French Polynesia,East Asia & Pacific,High income,18.20000076
Qatar,Middle East & North Africa,High income,0.200000003
Romania,Europe & Central Asia,Upper middle income,5.900000095
Russian Federation,Europe & Central Asia,Upper middle income,5.5
Rwanda,Sub-Saharan Africa,Low income,2.799999952
South Asia,,,3.885137102
Saudi Arabia,Middle East & North Africa,High income,5.5
Sudan,Sub-Saharan Africa,Lower middle income,13.10000038
Senegal,Sub-Saharan Africa,Low income,9.800000191
Singapore,East Asia & Pacific,High income,1.799999952
Solomon Islands,East Asia & Pacific,Lower middle income,31.39999962
Sierra Leone,Sub-Saharan Africa,Low income,2.700000048
El Salvador,Latin America & Caribbean,Lower middle income,6.900000095
Somalia,Sub-Saharan Africa,Low income,6.099999905
Serbia,Europe & Central Asia,Upper middle income,15.30000019
Sub-Saharan Africa (excluding high income),,,7.361326664
Sub-Saharan Africa,,,7.361326664
Small states,,,11.89943083
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,13.60000038
Suriname,Latin America & Caribbean,Upper middle income,8.5
Slovak Republic,Europe & Central Asia,High income,9.699999809
Slovenia,Europe & Central Asia,High income,8
Sweden,Europe & Central Asia,High income,7
Swaziland,Sub-Saharan Africa,Lower middle income,26
Syrian Arab Republic,Middle East & North Africa,Lower middle income,14.5
Chad,Sub-Saharan Africa,Low income,5.699999809
East Asia & Pacific (IDA & IBRD countries),,,4.353926284
Europe & Central Asia (IDA & IBRD countries),,,7.580359444
Togo,Sub-Saharan Africa,Low income,6.199999809
Thailand,East Asia & Pacific,Upper middle income,0.899999976
Tajikistan,Europe & Central Asia,Lower middle income,10.80000019
Turkmenistan,Europe & Central Asia,Upper middle income,8.699999809
Latin America & the Caribbean (IDA & IBRD countries),,,8.221164428
Timor-Leste,East Asia & Pacific,Lower middle income,3.799999952
Middle East & North Africa (IDA & IBRD countries),,,12.48674844
Tonga,East Asia & Pacific,Upper middle income,5
South Asia (IDA & IBRD),,,3.885137102
Sub-Saharan Africa (IDA & IBRD countries),,,7.361326664
Trinidad and Tobago,Latin America & Caribbean,High income,3.900000095
Tunisia,Middle East & North Africa,Lower middle income,14.89999962
Turkey,Europe & Central Asia,Upper middle income,10.80000019
Tanzania,Sub-Saharan Africa,Low income,2.400000095
Uganda,Sub-Saharan Africa,Low income,2.099999905
Ukraine,Europe & Central Asia,Lower middle income,9.199999809
Upper middle income,,,6.221447681
Uruguay,Latin America & Caribbean,High income,7.800000191
United States,North America,High income,4.900000095
Uzbekistan,Europe & Central Asia,Lower middle income,8.800000191
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,18.79999924
"Venezuela, RB",Latin America & Caribbean,Upper middle income,7.199999809
Virgin Islands (U.S.),Latin America & Caribbean,High income,8
Vietnam,East Asia & Pacific,Lower middle income,2.200000048
Vanuatu,East Asia & Pacific,Lower middle income,5.400000095
World,,,5.738687187
Samoa,East Asia & Pacific,Upper middle income,7.699999809
"Yemen, Rep.",Middle East & North Africa,Lower middle income,16.20000076
South Africa,Sub-Saharan Africa,Upper middle income,26.70000076
Zambia,Sub-Saharan Africa,Lower middle income,7.599999905
Zimbabwe,Sub-Saharan Africa,Low income,5.199999809
