Country ,Region,Income Group,Unemployment Rate
Europe & Central Asia (IDA & IBRD countries),,,7.461464008
Togo,Sub-Saharan Africa,Low income,6.199999809
Thailand,East Asia & Pacific,Upper middle income,1
Tajikistan,Europe & Central Asia,Lower middle income,10.80000019
Turkmenistan,Europe & Central Asia,Upper middle income,8.600000381
Latin America & the Caribbean (IDA & IBRD countries),,,8.858241219
Timor-Leste,East Asia & Pacific,Lower middle income,4.099999905
Middle East & North Africa (IDA & IBRD countries),,,12.30892441
Tonga,East Asia & Pacific,Upper middle income,4.900000095
South Asia (IDA & IBRD),,,3.949545249
Sub-Saharan Africa (IDA & IBRD countries),,,7.478603468
Trinidad and Tobago,Latin America & Caribbean,High income,4.400000095
Tunisia,Middle East & North Africa,Lower middle income,14.69999981
Turkey,Europe & Central Asia,Upper middle income,11.39999962
Tanzania,Sub-Saharan Africa,Low income,2.700000048
Uganda,Sub-Saharan Africa,Low income,2.299999952
Ukraine,Europe & Central Asia,Lower middle income,9
Upper middle income,,,6.3934985
Uruguay,Latin America & Caribbean,High income,8.300000191
United States,North America,High income,4.900000095
Uzbekistan,Europe & Central Asia,Lower middle income,8.699999809
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,18.79999924
"Venezuela, RB",Latin America & Caribbean,Upper middle income,7.300000191
Virgin Islands (U.S.),Latin America & Caribbean,High income,7.900000095
Vietnam,East Asia & Pacific,Lower middle income,2.200000048
Vanuatu,East Asia & Pacific,Lower middle income,5.400000095
World,,,5.779639779
Samoa,East Asia & Pacific,Upper middle income,6.599999905
"Yemen, Rep.",Middle East & North Africa,Lower middle income,16
South Africa,Sub-Saharan Africa,Upper middle income,27.29999924
Zambia,Sub-Saharan Africa,Lower middle income,7.400000095
Zimbabwe,Sub-Saharan Africa,Low income,5.300000191
